2023-06-16:07:38:19:700,[3415346D9C0000000001C534],
2023-06-16:08:02:31:907,[3415346D9C0000000001DD0D],
2023-06-16:08:02:31:907,[3415346D9C0000000001DE30],
2023-06-16:08:02:31:907,[3415346D9C0000000001DEE7],
2023-06-16:08:02:31:907,[3415346D9C0000000001E113],
2023-06-16:08:02:31:907,[3415346D9C0000000001FF4D],
2023-06-16:08:02:31:907,[3415346D9C000000000ABBE3],
2023-06-16:08:02:31:907,[3415346D9C000000000ABBE5],
2023-06-16:08:02:31:923,[3415346D9C000000000ABBE7],
2023-06-16:08:02:38:456,[3415346D9C0000000001CAB2],
2023-06-16:08:02:38:456,[3415346D9C0000000001CDDE],
2023-06-16:08:02:38:456,[3415346D9C0000000001D0B8],
2023-06-16:08:02:38:456,[3415346D9C0000000001D5A8],
2023-06-16:08:02:38:472,[3415346D9C0000000001D5A9],
2023-06-16:08:02:38:472,[3415346D9C0000000001D63F],
2023-06-16:08:02:38:472,[3415346D9C0000000001D7A9],
2023-06-16:08:02:38:472,[3415346D9C0000000001D834],
2023-06-16:08:02:38:472,[3415346D9C0000000001DD0D],
2023-06-16:08:02:38:472,[3415346D9C0000000001DE30],
2023-06-16:08:02:38:472,[3415346D9C0000000001DEE7],
2023-06-16:08:02:38:472,[3415346D9C0000000001E113],
2023-06-16:08:02:38:472,[3415346D9C0000000001FF4D],
2023-06-16:08:02:38:472,[3415346D9C000000000ABBE3],
2023-06-16:08:02:38:472,[3415346D9C000000000ABBE5],
2023-06-16:08:02:38:472,[3415346D9C000000000ABBE7],
2023-06-16:08:02:40:176,[3415346D9C0000000001CAB2],
2023-06-16:08:02:40:177,[3415346D9C0000000001CDDE],
2023-06-16:08:02:40:178,[3415346D9C0000000001D0B8],
2023-06-16:08:02:40:179,[3415346D9C0000000001D5A8],
2023-06-16:08:02:40:180,[3415346D9C0000000001D5A9],
2023-06-16:08:02:40:180,[3415346D9C0000000001D63F],
2023-06-16:08:02:40:181,[3415346D9C0000000001D7A9],
2023-06-16:08:02:40:182,[3415346D9C0000000001D834],
2023-06-16:08:02:40:183,[3415346D9C0000000001DD0D],
2023-06-16:08:02:40:184,[3415346D9C0000000001DE30],
2023-06-16:08:02:40:185,[3415346D9C0000000001DEE7],
2023-06-16:08:02:40:187,[3415346D9C0000000001E113],
2023-06-16:08:02:40:188,[3415346D9C0000000001FF4D],
2023-06-16:08:02:40:189,[3415346D9C000000000ABBE3],
2023-06-16:08:02:40:190,[3415346D9C000000000ABBE5],
2023-06-16:08:02:40:190,[3415346D9C000000000ABBE7],
2023-06-16:08:04:29:402,[3415346D9C0000000001C2FB],
2023-06-16:08:04:29:402,[3415346D9C0000000001D0C8],
2023-06-16:08:04:29:402,[3415346D9C0000000001D1F3],
2023-06-16:08:04:29:402,[3415346D9C0000000001D4CC],
2023-06-16:08:04:29:402,[3415346D9C0000000001D5A9],
2023-06-16:08:04:29:402,[3415346D9C0000000001D832],
2023-06-16:08:04:29:402,[3415346D9C0000000001D99B],
2023-06-16:08:04:29:402,[3415346D9C0000000001DD0D],
2023-06-16:08:04:29:417,[3415346D9C0000000001DDDB],
2023-06-16:08:04:29:417,[3415346D9C0000000001DDDF],
2023-06-16:08:04:29:417,[3415346D9C0000000001DDF3],
2023-06-16:08:04:29:417,[3415346D9C00000000022084],
2023-06-16:08:04:29:542,[3415346D9C00000000022083],
2023-06-16:08:04:37:713,[3415346D9C0000000001C2FB],
2023-06-16:08:04:37:714,[3415346D9C0000000001D0C8],
2023-06-16:08:04:37:714,[3415346D9C0000000001D1F3],
2023-06-16:08:04:37:715,[3415346D9C0000000001D4CC],
2023-06-16:08:04:37:716,[3415346D9C0000000001D5A9],
2023-06-16:08:04:37:717,[3415346D9C0000000001D832],
2023-06-16:08:04:37:718,[3415346D9C0000000001D99B],
2023-06-16:08:04:37:718,[3415346D9C0000000001DD0D],
2023-06-16:08:04:37:719,[3415346D9C0000000001DDDB],
2023-06-16:08:04:37:720,[3415346D9C0000000001DDDF],
2023-06-16:08:04:37:720,[3415346D9C0000000001DDF3],
2023-06-16:08:04:37:721,[3415346D9C00000000022084],
2023-06-16:08:04:37:811,[3415346D9C00000000022083],
2023-06-16:08:06:06:434,[3415346D9C0000000001D14C],
2023-06-16:08:06:06:435,[3415346D9C0000000001D2B1],
2023-06-16:08:06:06:435,[3415346D9C0000000001D832],
2023-06-16:08:06:06:436,[3415346D9C0000000001DBA7],
2023-06-16:08:06:06:437,[3415346D9C0000000001EAA9],
2023-06-16:08:06:06:437,[3415346D9C000000000219B7],
2023-06-16:08:06:06:509,[3415346D9C0000000001E819],
2023-06-16:08:06:06:509,[3415346D9C0000000001F0E2],
2023-06-16:08:06:11:341,[3415346D9C0000000001D14C],
2023-06-16:08:06:11:341,[3415346D9C0000000001D2B1],
2023-06-16:08:06:11:341,[3415346D9C0000000001D832],
2023-06-16:08:06:11:341,[3415346D9C0000000001DBA7],
2023-06-16:08:06:11:341,[3415346D9C0000000001EAA9],
2023-06-16:08:06:11:341,[3415346D9C000000000219B7],
2023-06-16:08:06:11:419,[3415346D9C0000000001E819],
2023-06-16:08:06:11:419,[3415346D9C0000000001F0E2],
2023-06-16:08:06:12:697,[3415346D9C0000000001D14C],
2023-06-16:08:06:12:698,[3415346D9C0000000001D2B1],
2023-06-16:08:06:12:698,[3415346D9C0000000001D832],
2023-06-16:08:06:12:699,[3415346D9C0000000001DBA7],
2023-06-16:08:06:12:700,[3415346D9C0000000001EAA9],
2023-06-16:08:06:12:700,[3415346D9C000000000219B7],
2023-06-16:08:06:12:786,[3415346D9C0000000001E819],
2023-06-16:08:06:12:786,[3415346D9C0000000001F0E2],
2023-06-16:08:08:01:983,[3415346D9C0000000001D830],
2023-06-16:08:08:01:983,[3415346D9C0000000001EAE3],
2023-06-16:08:08:01:984,[3415346D9C000000000219BD],
2023-06-16:08:08:01:985,[3415346D9C000000000ABBEA],
2023-06-16:08:08:02:063,[3415346D9C00000000022A4C],
2023-06-16:08:08:10:034,[3415346D9C0000000001D830],
2023-06-16:08:08:10:035,[3415346D9C0000000001EAE3],
2023-06-16:08:08:10:035,[3415346D9C000000000219BD],
2023-06-16:08:08:10:036,[3415346D9C000000000ABBEA],
2023-06-16:08:08:10:093,[3415346D9C00000000022A4C],
2023-06-16:08:11:52:455,[3415346D9C0000000001C2EF],
2023-06-16:08:11:52:457,[3415346D9C0000000001C86A],
2023-06-16:08:11:52:459,[3415346D9C0000000001D1EF],
2023-06-16:08:11:52:459,[3415346D9C0000000001D7A9],
2023-06-16:08:11:52:460,[3415346D9C0000000001DDDE],
2023-06-16:08:11:52:460,[3415346D9C0000000001DE6D],
2023-06-16:08:11:52:461,[3415346D9C0000000001E01A],
2023-06-16:08:11:52:461,[3415346D9C0000000001E7DA],
2023-06-16:08:11:52:462,[3415346D9C0000000001FD47],
2023-06-16:08:11:52:627,[3415346D9C000000000F4431],
2023-06-16:08:12:00:859,[3415346D9C0000000001C2EF],
2023-06-16:08:12:00:860,[3415346D9C0000000001C86A],
2023-06-16:08:12:00:862,[3415346D9C0000000001D1EF],
2023-06-16:08:12:00:862,[3415346D9C0000000001D7A9],
2023-06-16:08:12:00:863,[3415346D9C0000000001DDDE],
2023-06-16:08:12:00:864,[3415346D9C0000000001DE6D],
2023-06-16:08:12:00:864,[3415346D9C0000000001E01A],
2023-06-16:08:12:00:865,[3415346D9C0000000001E7DA],
2023-06-16:08:12:00:866,[3415346D9C0000000001FD47],
2023-06-16:08:12:00:949,[3415346D9C000000000F4431],
2023-06-16:08:12:02:232,[3415346D9C0000000001C2EF],
2023-06-16:08:12:02:232,[3415346D9C0000000001C86A],
2023-06-16:08:12:02:232,[3415346D9C0000000001D1EF],
2023-06-16:08:12:02:232,[3415346D9C0000000001D7A9],
2023-06-16:08:12:02:232,[3415346D9C0000000001DDDE],
2023-06-16:08:12:02:232,[3415346D9C0000000001DE6D],
2023-06-16:08:12:02:232,[3415346D9C0000000001E01A],
2023-06-16:08:12:02:232,[3415346D9C0000000001E7DA],
2023-06-16:08:12:02:232,[3415346D9C0000000001FD47],
2023-06-16:08:12:02:310,[3415346D9C000000000F4431],
2023-06-16:08:22:21:590,[3415346D9C0000000001C5D8],
2023-06-16:08:48:48:090,[3415346D9C0000000001C2EC],
2023-06-16:09:45:48:962,[3415346D9C0000000001C64E],
2023-06-16:09:45:49:070,[3415346D9C0000000001CD64],
2023-06-16:09:45:49:070,[3415346D9C0000000001DBE5],
2023-06-16:09:45:49:071,[3415346D9C0000000001CD65],
2023-06-16:09:45:49:071,[3415346D9C0000000001C30C],
2023-06-16:09:45:49:072,[3415346D9C0000000001CDA3],
2023-06-16:09:45:49:072,[3415346D9C0000000001CD63],
2023-06-16:09:45:49:073,[3415346D9C0000000001D33C],
2023-06-16:09:45:49:073,[3415346D9C0000000001CD56],
2023-06-16:09:45:49:075,[3415346D9C000000000FA41A],
2023-06-16:09:45:49:076,[3415346D9C0000000001CF59],
2023-06-16:09:45:49:076,[3415346D9C0000000001F209],
2023-06-16:09:46:07:055,[3415346D9C0000000001C64E],
2023-06-16:09:46:07:130,[3415346D9C0000000001CD64],
2023-06-16:09:46:07:130,[3415346D9C0000000001DBE5],
2023-06-16:09:46:07:131,[3415346D9C0000000001CD65],
2023-06-16:09:46:07:131,[3415346D9C0000000001C30C],
2023-06-16:09:46:07:132,[3415346D9C0000000001CDA3],
2023-06-16:09:46:07:132,[3415346D9C0000000001CD63],
2023-06-16:09:46:07:132,[3415346D9C0000000001D33C],
2023-06-16:09:46:07:133,[3415346D9C0000000001CD56],
2023-06-16:09:46:07:136,[3415346D9C000000000FA41A],
2023-06-16:09:46:07:136,[3415346D9C0000000001CF59],
2023-06-16:09:46:07:137,[3415346D9C0000000001F209],
2023-06-16:09:49:12:573,[3415346D9C000000000186C7],
2023-06-16:09:49:12:577,[3415346D9C0000000001CD4D],
2023-06-16:09:53:19:474,[3415346D9C000000000186C7],
2023-06-16:09:53:19:476,[3415346D9C0000000001CD4D],
2023-06-16:10:16:31:331,[3415346D9C0000000001DBA7],
2023-06-16:10:16:31:491,[3415346D9C000000000219B9],
2023-06-16:10:29:07:622,[3415346D9C0000000007ACBC],
2023-06-16:10:29:07:622,[3415346D9C0000000007ACBD],
2023-06-16:10:29:07:623,[3415346D9C0000000007ACBF],
2023-06-16:10:29:07:623,[3415346D9C0000000007ACC2],
2023-06-16:10:29:07:624,[3415346D9C000000000939A9],
2023-06-16:10:29:07:727,[3415346D9C00000000022BDC],
2023-06-16:10:29:07:728,[3415346D9C00000000022B94],
2023-06-16:10:29:07:728,[3415346D9C00000000022BDB],
2023-06-16:10:29:07:729,[3415346D9C00000000022BD9],
2023-06-16:10:29:07:729,[3415346D9C00000000022BDA],
2023-06-16:10:29:07:729,[3415346D9C00000000022BD7],
2023-06-16:10:29:07:730,[3415346D9C00000000022BD8],
2023-06-16:10:29:07:730,[3415346D9C00000000022B9C],
2023-06-16:10:29:07:730,[3415346D9C00000000022BD6],
2023-06-16:10:29:07:731,[3415346D9C0000000007ACC1],
2023-06-16:10:29:07:731,[3415346D9C00000000022BD5],
2023-06-16:10:29:07:731,[3415346D9C00000000022BD4],
2023-06-16:10:29:07:732,[3415346D9C00000000022BD3],
2023-06-16:10:47:39:018,[3415346D9C00000000022B94],
2023-06-16:10:47:39:018,[3415346D9C00000000022B9C],
2023-06-16:10:47:39:112,[3415346D9C00000000022BD1],
2023-06-16:10:47:39:112,[3415346D9C00000000022BD2],
2023-06-16:10:47:39:112,[3415346D9C00000000022BD0],
2023-06-16:10:47:39:112,[3415346D9C00000000022BCF],
2023-06-16:10:48:21:799,[3415346D9C00000000022B94],
2023-06-16:10:48:21:800,[3415346D9C00000000022B9C],
2023-06-16:10:48:21:878,[3415346D9C00000000022BD1],
2023-06-16:10:48:21:879,[3415346D9C00000000022BD2],
2023-06-16:10:48:21:879,[3415346D9C00000000022BD0],
2023-06-16:10:48:21:880,[3415346D9C00000000022BCF],
2023-06-16:10:49:13:547,[3415346D9C00000000022B94],
2023-06-16:10:49:13:548,[3415346D9C00000000022B9C],
2023-06-16:10:49:13:552,[3415346D9C00000000022BD3],
2023-06-16:10:49:13:553,[3415346D9C00000000022BD4],
2023-06-16:10:49:13:555,[3415346D9C00000000022BD5],
2023-06-16:10:49:13:558,[3415346D9C00000000022BD6],
2023-06-16:10:49:13:559,[3415346D9C00000000022BD7],
2023-06-16:10:49:13:560,[3415346D9C00000000022BD8],
2023-06-16:10:49:13:560,[3415346D9C00000000022BD9],
2023-06-16:10:49:13:561,[3415346D9C00000000022BDA],
2023-06-16:10:49:13:561,[3415346D9C00000000022BDB],
2023-06-16:10:49:13:561,[3415346D9C00000000022BDC],
2023-06-16:10:49:13:565,[3415346D9C0000000007ACC2],
2023-06-16:10:49:13:565,[3415346D9C000000000939A9],
2023-06-16:10:49:13:640,[3415346D9C00000000022BCE],
2023-06-16:10:49:13:641,[3415346D9C0000000007ACC1],
2023-06-16:11:26:35:699,[3415346D9C00000000022BCE],
2023-06-16:11:26:35:699,[3415346D9C00000000022BD3],
2023-06-16:11:26:35:809,[3415346D9C00000000022BCA],
2023-06-16:11:26:35:810,[3415346D9C00000000022BC6],
2023-06-16:11:26:35:810,[3415346D9C00000000022BC9],
2023-06-16:11:26:35:810,[3415346D9C00000000022BC7],
2023-06-16:11:26:35:811,[3415346D9C00000000022BC8],
2023-06-16:11:26:35:811,[3415346D9C00000000022BCB],
2023-06-16:11:29:09:607,[3415346D9C00000000022B94],
2023-06-16:11:29:09:607,[3415346D9C00000000022BC6],
2023-06-16:11:29:09:608,[3415346D9C00000000022BC7],
2023-06-16:11:29:09:608,[3415346D9C00000000022BC8],
2023-06-16:11:29:09:609,[3415346D9C00000000022BC9],
2023-06-16:11:29:09:609,[3415346D9C00000000022BCA],
2023-06-16:11:29:09:610,[3415346D9C00000000022BCB],
2023-06-16:11:29:09:610,[3415346D9C00000000022BD2],
2023-06-16:11:29:09:710,[3415346D9C00000000022BCC],
2023-06-16:11:29:09:710,[3415346D9C00000000022BCD],
2023-06-16:11:36:03:278,[3415346D9C00000000022BC5],
2023-06-16:11:49:03:110,[3415346D9C00000000022DA7],
2023-06-16:11:49:03:111,[3415346D9C00000000022DB3],
2023-06-16:11:49:03:111,[3415346D9C00000000022DB5],
2023-06-16:11:49:03:112,[3415346D9C00000000022DBB],
2023-06-16:11:49:03:112,[3415346D9C00000000022DC6],
2023-06-16:11:49:03:113,[3415346D9C00000000022DCA],
2023-06-16:11:49:03:114,[3415346D9C00000000022DCC],
2023-06-16:11:49:03:114,[3415346D9C00000000022DCF],
2023-06-16:11:49:03:115,[3415346D9C00000000093998],
2023-06-16:11:49:03:115,[3415346D9C00000000093999],
2023-06-16:11:49:03:116,[3415346D9C0000000009399A],
2023-06-16:11:49:03:215,[3415346D9C000000000223D5],
2023-06-16:11:49:12:092,[3415346D9C00000000022DA7],
2023-06-16:11:49:12:093,[3415346D9C00000000022DB3],
2023-06-16:11:49:12:093,[3415346D9C00000000022DB5],
2023-06-16:11:49:12:094,[3415346D9C00000000022DBB],
2023-06-16:11:49:12:095,[3415346D9C00000000022DC6],
2023-06-16:11:49:12:095,[3415346D9C00000000022DCA],
2023-06-16:11:49:12:096,[3415346D9C00000000022DCC],
2023-06-16:11:49:12:096,[3415346D9C00000000022DCF],
2023-06-16:11:49:12:097,[3415346D9C00000000093998],
2023-06-16:11:49:12:097,[3415346D9C00000000093999],
2023-06-16:11:49:12:098,[3415346D9C0000000009399A],
2023-06-16:11:49:12:201,[3415346D9C000000000223D5],
2023-06-16:11:53:51:413,[3415346D9C00000000022716],
2023-06-16:11:53:51:414,[3415346D9C00000000022B80],
2023-06-16:11:53:51:414,[3415346D9C00000000022DDD],
2023-06-16:11:53:51:415,[3415346D9C00000000022DE0],
2023-06-16:11:53:51:553,[3415346D9C00000000022DB8],
2023-06-16:11:53:51:553,[3415346D9C0000000001B650],
2023-06-16:11:53:51:554,[3415346D9C00000000022B7B],
2023-06-16:12:00:12:481,[3415346D9C00000000022DAF],
2023-06-16:12:00:12:483,[3415346D9C00000000022DC0],
2023-06-16:12:00:13:129,[3415346D9C0000000002273A],
2023-06-16:12:00:15:657,[3415346D9C00000000022DAF],
2023-06-16:12:00:15:659,[3415346D9C00000000022DC0],
2023-06-16:12:00:15:807,[3415346D9C0000000002273A],
2023-06-16:12:00:49:645,[3415346D9C00000000022DAF],
2023-06-16:12:00:49:646,[3415346D9C00000000022DC0],
2023-06-16:12:00:49:739,[3415346D9C0000000002273A],
2023-06-16:13:10:10:507,[3415346D9C0000000007ACC2],
2023-06-16:13:10:10:671,[3415346D9C00000000022B95],
2023-06-16:13:10:10:672,[3415346D9C00000000022B91],
2023-06-16:13:10:10:672,[3415346D9C00000000022B92],
2023-06-16:13:10:10:673,[3415346D9C00000000022B93],
2023-06-16:13:10:10:673,[3415346D9C0000000007ACC1],
2023-06-16:13:10:15:899,[3415346D9C0000000007ACC2],
2023-06-16:13:10:15:993,[3415346D9C00000000022B95],
2023-06-16:13:10:15:993,[3415346D9C00000000022B91],
2023-06-16:13:10:15:993,[3415346D9C00000000022B92],
2023-06-16:13:10:15:993,[3415346D9C00000000022B93],
2023-06-16:13:10:15:993,[3415346D9C0000000007ACC1],
2023-06-16:13:12:28:917,[3415346D9C00000000022B91],
2023-06-16:13:12:28:917,[3415346D9C00000000022B92],
2023-06-16:13:12:28:918,[3415346D9C00000000022B93],
2023-06-16:13:12:28:919,[3415346D9C00000000022B95],
2023-06-16:13:12:28:920,[3415346D9C0000000007ACC2],
2023-06-16:13:12:29:006,[3415346D9C00000000022B96],
2023-06-16:13:12:29:006,[3415346D9C00000000022B9A],
2023-06-16:13:12:29:006,[3415346D9C00000000022B98],
2023-06-16:13:12:29:007,[3415346D9C00000000022B9B],
2023-06-16:13:12:29:007,[3415346D9C0000000007ACC1],
2023-06-16:13:33:20:306,[3415346D9C00000000021E29],
2023-06-16:13:36:16:276,[3415346D9C0000000001CD5D],
2023-06-16:13:36:16:276,[3415346D9C0000000001E5B2],
2023-06-16:13:36:16:276,[3415346D9C0000000001ECBA],
2023-06-16:13:36:16:276,[3415346D9C000000000215BD],
2023-06-16:13:36:16:291,[3415346D9C0000000002284E],
2023-06-16:13:36:16:291,[3415346D9C0000000007A918],
2023-06-16:13:36:16:291,[3415346D9C0000000007A91A],
2023-06-16:13:36:16:291,[3415346D9C0000000007A91C],
2023-06-16:13:36:16:291,[3415346D9C00000000093375],
2023-06-16:13:36:16:432,[3415346D9C000000000938BB],
2023-06-16:13:36:16:432,[3415346D9C0000000007A91D],
2023-06-16:13:36:16:432,[3415346D9C0000000007A91E],
2023-06-16:13:36:16:432,[3415346D9C0000000007A917],
2023-06-16:13:36:16:432,[3415346D9C000000000204FA],
2023-06-16:13:36:16:432,[3415346D9C0000000007A91B],
2023-06-16:13:36:16:432,[3415346D9C0000000001ECBB],
2023-06-16:13:36:16:432,[3415346D9C00000000020594],
2023-06-16:13:36:16:432,[3415346D9C000000000226F4],
2023-06-16:13:36:16:432,[3415346D9C00000000093141],
2023-06-16:13:36:16:432,[3415346D9C00000000020F38],
2023-06-16:13:36:25:074,[3415346D9C0000000001CD5D],
2023-06-16:13:36:25:074,[3415346D9C0000000001E5B2],
2023-06-16:13:36:25:074,[3415346D9C0000000001ECBA],
2023-06-16:13:36:25:074,[3415346D9C000000000215BD],
2023-06-16:13:36:25:089,[3415346D9C0000000002284E],
2023-06-16:13:36:25:089,[3415346D9C0000000007A918],
2023-06-16:13:36:25:089,[3415346D9C0000000007A91A],
2023-06-16:13:36:25:089,[3415346D9C0000000007A91C],
2023-06-16:13:36:25:089,[3415346D9C00000000093375],
2023-06-16:13:36:25:168,[3415346D9C000000000938BB],
2023-06-16:13:36:25:168,[3415346D9C0000000007A91D],
2023-06-16:13:36:25:168,[3415346D9C0000000007A91E],
2023-06-16:13:36:25:168,[3415346D9C0000000007A917],
2023-06-16:13:36:25:168,[3415346D9C000000000204FA],
2023-06-16:13:36:25:168,[3415346D9C0000000007A91B],
2023-06-16:13:36:25:168,[3415346D9C0000000001ECBB],
2023-06-16:13:36:25:168,[3415346D9C00000000020594],
2023-06-16:13:36:25:168,[3415346D9C000000000226F4],
2023-06-16:13:36:25:168,[3415346D9C00000000093141],
2023-06-16:13:36:25:183,[3415346D9C00000000020F38],
2023-06-16:13:37:53:238,[3415346D9C0000000001CD5D],
2023-06-16:13:37:53:238,[3415346D9C0000000001E5B2],
2023-06-16:13:37:53:240,[3415346D9C0000000001ECBA],
2023-06-16:13:37:53:241,[3415346D9C000000000215BD],
2023-06-16:13:37:53:242,[3415346D9C0000000002284E],
2023-06-16:13:37:53:243,[3415346D9C0000000007A918],
2023-06-16:13:37:53:244,[3415346D9C0000000007A91A],
2023-06-16:13:37:53:245,[3415346D9C0000000007A91C],
2023-06-16:13:37:53:246,[3415346D9C00000000093375],
2023-06-16:13:37:53:325,[3415346D9C000000000938BB],
2023-06-16:13:37:53:325,[3415346D9C0000000007A91D],
2023-06-16:13:37:53:328,[3415346D9C0000000007A91E],
2023-06-16:13:37:53:328,[3415346D9C0000000007A917],
2023-06-16:13:37:53:329,[3415346D9C000000000204FA],
2023-06-16:13:37:53:331,[3415346D9C0000000007A91B],
2023-06-16:13:37:53:331,[3415346D9C0000000001ECBB],
2023-06-16:13:37:53:333,[3415346D9C00000000020594],
2023-06-16:13:37:53:333,[3415346D9C000000000226F4],
2023-06-16:13:37:53:333,[3415346D9C00000000093141],
2023-06-16:13:37:53:334,[3415346D9C00000000020F38],
2023-06-16:13:57:29:944,[3415346D9C00000000022AF4],
2023-06-16:13:57:30:055,[3415346D9C00000000022AFF],
2023-06-16:14:08:30:586,[3415346D9C00000000022AF4],
2023-06-16:14:08:30:682,[3415346D9C00000000022AFF],
2023-06-15:09:40:31:825,[3415346D6C0000000007A220],
2023-06-15:09:40:31:825,[3415346D9C000000000ABFA5],
2023-06-15:09:40:31:935,[3415346D9C000000000ABBF3],
2023-06-15:10:29:08:678,[3415346D9C00000000022B79],
2023-06-15:10:29:16:016,[3415346D9C00000000022B79],
2023-06-15:10:30:54:589,[3415346D9C00000000022DA9],
2023-06-15:10:30:54:589,[3415346D9C00000000022DC5],
2023-06-15:10:30:54:684,[3415346D9C00000000022B87],
2023-06-15:10:30:58:643,[3415346D9C00000000022DA9],
2023-06-15:10:30:58:643,[3415346D9C00000000022DC5],
2023-06-15:10:30:58:736,[3415346D9C00000000022B87],
2023-06-15:10:32:20:914,[3415346D9C00000000022DA9],
2023-06-15:10:32:20:914,[3415346D9C00000000022DC5],
2023-06-15:10:32:21:008,[3415346D9C00000000022B87],
2023-06-15:10:32:23:128,[3415346D9C00000000022DA9],
2023-06-15:10:32:23:129,[3415346D9C00000000022DC5],
2023-06-15:10:32:23:205,[3415346D9C00000000022B87],
2023-06-15:10:35:47:478,[3415346D9C00000000022DB2],
2023-06-15:10:35:47:478,[3415346D9C00000000022DC9],
2023-06-15:10:35:47:478,[3415346D9C00000000022E92],
2023-06-15:10:35:47:603,[3415346D9C00000000022B78],
2023-06-15:10:35:47:603,[3415346D9C0000000001DF96],
2023-06-15:10:35:51:439,[3415346D9C00000000022DB2],
2023-06-15:10:35:51:440,[3415346D9C00000000022DC9],
2023-06-15:10:35:51:443,[3415346D9C00000000022E92],
2023-06-15:10:35:51:606,[3415346D9C00000000022B78],
2023-06-15:10:35:51:607,[3415346D9C0000000001DF96],
2023-06-15:10:35:53:436,[3415346D9C00000000022DB2],
2023-06-15:10:35:53:438,[3415346D9C00000000022DC9],
2023-06-15:10:35:53:439,[3415346D9C00000000022E92],
2023-06-15:10:35:53:513,[3415346D9C00000000022B78],
2023-06-15:10:35:53:514,[3415346D9C0000000001DF96],
2023-06-15:10:37:10:714,[3415346D9C00000000093961],
2023-06-15:10:37:10:714,[3415346D9C00000000093962],
2023-06-15:10:37:10:714,[3415346D9C00000000093964],
2023-06-15:10:37:10:714,[3415346D9C00000000093963],
2023-06-15:10:37:10:714,[3415346D9C00000000093965],
2023-06-15:10:37:10:714,[3415346D9C00000000093966],
2023-06-15:10:37:10:714,[3415346D9C00000000093967],
2023-06-15:10:37:10:714,[3415346D9C00000000093968],
2023-06-15:10:37:10:714,[3415346D9C00000000093969],
2023-06-15:10:37:10:714,[3415346D9C0000000009396A],
2023-06-15:10:37:10:714,[3415346D9C0000000009396B],
2023-06-15:10:37:10:714,[3415346D9C0000000009396C],
2023-06-15:10:37:10:714,[3415346D9C0000000009396D],
2023-06-15:10:37:10:714,[3415346D9C0000000009396E],
2023-06-15:10:37:10:714,[3415346D9C0000000009396F],
2023-06-15:10:37:21:256,[3415346D9C0000000001DDE4],
2023-06-15:10:37:21:329,[3415346D9C0000000001A484],
2023-06-15:10:38:11:871,[3415346D9C00000000022B77],
2023-06-15:10:38:52:370,[3415346D9C0000000001DDE4],
2023-06-15:10:38:52:727,[3415346D9C0000000001A484],
2023-06-15:10:43:01:818,[3415346D9C0000000001DDE4],
2023-06-15:10:43:01:818,[3415346D6C0000000007A220],
